code,system
66Ap.00,readv2
66Aw.00,readv2
C100011,readv2
C100112,readv2
C108.00,readv2
C108.11,readv2
C108600,readv2
C108700,readv2
C108800,readv2
C108900,readv2
C108D00,readv2
C108E00,readv2
C108H00,readv2
C109.00,readv2
C109500,readv2
C109600,readv2
C109700,readv2
C109C00,readv2
C109D00,readv2
C109G00,readv2
C10E.12,readv2
C10E712,readv2
C10E812,readv2
C10E912,readv2
C10ED12,readv2
C10EE12,readv2
C110.11,readv2
TJ23000,readv2
ZRbH.00,readv2
E10,icd10
E10.0,icd10
E10.1,icd10
E10.2,icd10
E10.3,icd10
E10.4,icd10
E10.5,icd10
E10.6,icd10
E10.7,icd10
E10.8,icd10
E10.9,icd10
E11,icd10
E11.0,icd10
E11.1,icd10
E11.2,icd10
E11.3,icd10
E11.4,icd10
E11.5,icd10
E11.6,icd10
E11.7,icd10
E11.8,icd10
E11.9,icd10
Y42.3,icd10
